date,method,candidate_count,selected_count,worst_case_objective,realized_recourse_value,positives_found,positive_coverage,positives_per_patrol_hour,distance_km,overtime_hours,expected_unresolved_count,positives_per_100km,selected_candidate_neighbors_5km,selected_nearest_candidate_km,selected_nearest_selected_km,clustered_selected_share,isolated_high_risk_selected,clustered_moderate_risk_selected
2024-12-02,risk_first,40,22,6.504547,1.039704,1,0.5,0.06427,113.98239,0.0,0.0,0.877329,18.090909,0.105524,0.779941,1.0,0,11
2024-12-02,deterministic_sir,40,24,6.210033,2.482299,2,1.0,0.128699,88.504856,0.0,0.0,2.259763,19.0,0.096402,0.292773,1.0,0,11
2024-12-02,saa_no_recourse,40,22,6.749737,1.04544,1,0.5,0.069387,85.297609,0.0,0.0,1.172366,18.818182,0.098642,0.172744,1.0,0,10
2024-12-02,two_stage_recourse,40,22,6.504355,2.477011,2,1.0,0.128223,114.944646,0.0,0.0,1.739968,18.636364,0.092611,0.868059,1.0,0,11
2024-12-02,dro_recourse,40,23,6.947103,2.482259,2,1.0,0.132906,88.705332,0.0,0.0,2.254656,18.913043,0.103384,0.278424,1.0,0,11
2024-12-03,risk_first,40,21,6.026656,-0.025062,0,0.0,0.0,125.312079,0.0,0.0,0.0,8.666667,0.675391,1.096802,0.952381,1,10
2024-12-03,deterministic_sir,40,23,6.083909,-0.020544,0,0.0,0.0,102.719557,0.0,0.0,0.0,8.782609,0.617314,0.914697,0.956522,1,10
2024-12-03,saa_no_recourse,40,21,6.115575,-0.025988,0,0.0,0.0,129.937922,0.0,0.0,0.0,8.238095,0.784767,1.352601,0.952381,1,10
2024-12-03,two_stage_recourse,40,20,6.026709,-0.025009,0,0.0,0.0,125.04632,0.0,0.0,0.0,8.6,0.708913,1.147795,0.95,1,9
2024-12-03,dro_recourse,40,21,6.079397,-0.025056,0,0.0,0.0,125.279015,0.0,0.0,0.0,8.666667,0.675633,1.033115,0.952381,1,9
2024-12-04,risk_first,40,17,5.856707,7.322176,6,0.857143,0.395801,166.478426,0.0,0.0,3.604071,7.294118,0.347749,0.347749,1.0,0,6
2024-12-04,deterministic_sir,40,18,6.016647,7.429381,6,0.857143,0.384031,165.593688,0.0,0.0,3.623327,7.5,0.333687,0.573089,1.0,0,7
2024-12-04,saa_no_recourse,40,18,6.113803,7.428881,6,0.857143,0.381588,168.094614,0.0,0.0,3.569418,7.5,0.333687,0.575355,1.0,0,7
2024-12-04,two_stage_recourse,40,18,6.113643,7.428721,6,0.857143,0.380812,168.895659,0.0,0.0,3.552489,7.5,0.333687,0.575355,1.0,0,7
2024-12-04,dro_recourse,40,18,6.113976,7.429054,6,0.857143,0.382429,167.229776,0.0,0.0,3.587878,7.5,0.333687,0.575355,1.0,0,7
2024-12-05,risk_first,40,11,1.161757,2.218788,2,1.0,0.124392,264.455122,0.152214,0.15625,0.756272,5.454545,0.161935,1.103358,1.0,0,0
2024-12-05,deterministic_sir,40,19,2.733468,2.370108,2,1.0,0.125536,160.793381,0.065155,0.0,1.243832,6.368421,0.439327,0.856492,1.0,0,8
2024-12-05,saa_no_recourse,40,19,3.452761,2.406589,2,1.0,0.127414,154.922915,0.041618,0.0,1.290965,6.0,0.18789,0.203913,1.0,0,6
2024-12-05,two_stage_recourse,40,17,2.831646,2.400317,2,1.0,0.125383,186.279575,0.041618,0.0,1.073655,5.764706,0.20129,0.612387,1.0,0,7
2024-12-05,dro_recourse,40,19,3.579248,2.40581,2,1.0,0.126162,158.815569,0.041618,0.0,1.259322,5.105263,0.464736,1.099847,0.947368,0,7
2024-12-06,risk_first,40,22,4.800597,2.475207,2,1.0,0.125324,123.965679,0.0,0.0,1.61335,15.909091,0.130057,0.15919,1.0,0,11
2024-12-06,deterministic_sir,40,23,4.76327,2.427332,2,1.0,0.125131,112.082383,0.033501,0.0,1.784402,15.043478,0.121142,0.275972,1.0,0,8
2024-12-06,saa_no_recourse,40,25,5.094317,2.477911,2,1.0,0.125005,87.482879,0.003061,0.0,2.286162,16.68,0.12691,0.16549,1.0,0,12
2024-12-06,two_stage_recourse,40,22,5.232939,2.475127,2,1.0,0.125199,124.365307,0.0,0.0,1.608166,15.681818,0.140919,0.216619,1.0,0,11
2024-12-06,dro_recourse,40,21,5.195784,2.475081,2,1.0,0.129167,124.59621,0.0,0.0,1.605185,15.095238,0.133755,0.217231,1.0,0,10
2024-12-15,risk_first,40,13,0.1855,1.08336,1,0.5,0.063886,228.824885,0.02225,0.0,0.437015,6.384615,1.61545,2.789924,0.769231,3,3
2024-12-15,deterministic_sir,40,21,0.397566,2.576144,2,1.0,0.130966,119.277808,0.0,0.0,1.676758,7.142857,0.818492,1.092542,0.904762,2,10
2024-12-15,saa_no_recourse,40,12,0.218253,0.218643,1,0.5,0.065816,229.844444,0.0,0.0,0.435077,5.166667,4.85317,5.665911,0.666667,4,2
2024-12-15,two_stage_recourse,40,13,0.562093,1.124187,1,0.5,0.070609,191.563873,0.0,0.0,0.522019,4.692308,2.122742,4.097271,0.692308,3,3
2024-12-15,dro_recourse,40,15,0.697511,1.130011,1,0.5,0.07144,162.444376,0.0,0.0,0.615595,6.333333,1.424152,2.463288,0.8,2,7
2024-12-16,risk_first,40,17,2.153508,3.716398,3,1.0,0.197104,168.008917,0.0,0.0,1.78562,5.529412,0.329277,1.298082,1.0,0,6
2024-12-16,deterministic_sir,40,18,2.112925,3.718393,3,1.0,0.195806,158.03301,0.0,0.0,1.898338,6.0,0.324905,0.609516,1.0,0,7
2024-12-16,saa_no_recourse,40,16,2.241928,3.573959,3,1.0,0.204303,167.101536,0.09508,0.0,1.795316,4.75,0.32333,1.672829,1.0,0,5
2024-12-16,two_stage_recourse,40,16,2.516514,3.718858,3,1.0,0.210845,155.712198,0.0,0.0,1.926631,4.5625,0.319418,0.770374,1.0,0,4
2024-12-16,dro_recourse,40,18,2.432627,2.139659,2,0.666667,0.132941,151.105616,0.09508,0.0,1.323578,4.5,0.451607,1.443943,1.0,0,7
2024-12-17,risk_first,40,10,1.923657,7.435938,6,0.857143,0.381704,266.263924,0.02554,0.0,2.253403,5.2,1.451885,3.787967,0.9,1,1
2024-12-17,deterministic_sir,40,19,1.771011,4.392574,4,0.571429,0.258311,149.630413,0.0,0.03125,2.673253,9.052632,0.813632,0.901724,0.947368,1,10
2024-12-17,saa_no_recourse,40,12,2.171477,7.486477,6,0.857143,0.422396,205.116988,0.0,0.0,2.92516,6.583333,0.716997,1.684006,1.0,0,5
2024-12-17,two_stage_recourse,40,12,2.080827,7.486249,6,0.857143,0.421048,206.253731,0.0,0.0,2.909038,5.5,1.191125,1.548102,0.916667,1,3
2024-12-17,dro_recourse,40,12,2.20732,7.486164,6,0.857143,0.420545,206.679702,0.0,0.0,2.903043,6.333333,0.716997,2.232282,1.0,0,5
2024-12-23,risk_first,40,8,-6.49452,-8.557598,0,0.0,0.0,306.42333,0.372542,4.65625,0.0,3.75,3.314124,7.558512,0.75,1,0
2024-12-23,deterministic_sir,40,15,-0.989751,11.209812,9,1.0,0.579239,200.940867,0.0,2.9375,4.47893,4.866667,2.966402,3.903083,0.8,2,10
2024-12-23,saa_no_recourse,40,24,-0.07522,-2.322892,9,1.0,0.360995,323.277991,8.93112,0.03125,2.783982,4.25,3.842064,4.101173,0.708333,3,9
2024-12-23,two_stage_recourse,40,17,2.297645,-0.67248,5,0.555556,0.253239,281.104311,3.744172,0.875,1.778699,4.117647,3.215884,4.60114,0.764706,2,5
2024-12-23,dro_recourse,40,19,2.229611,-3.433264,5,0.555556,0.231676,302.047571,5.581903,0.3125,1.655368,3.631579,3.900161,4.857522,0.684211,3,5
2024-12-24,risk_first,40,11,2.603207,0.474598,2,0.333333,0.121015,275.671131,0.526845,0.8125,0.725502,5.0,5.427148,7.813412,0.727273,3,1
2024-12-24,deterministic_sir,40,15,3.493198,1.003932,2,0.333333,0.124084,215.452179,0.181985,0.75,0.92828,5.333333,1.245712,2.746146,0.933333,0,9
2024-12-24,saa_no_recourse,40,18,4.598862,-1.221091,2,0.333333,0.113217,216.629421,1.665177,0.1875,0.923236,4.888889,1.638783,2.371171,0.944444,0,10
2024-12-24,two_stage_recourse,40,17,4.813366,1.283429,2,0.333333,0.126468,182.856635,0.0,0.46875,1.093753,5.411765,1.258962,1.615967,0.941176,0,10
2024-12-24,dro_recourse,40,17,4.994711,1.163726,2,0.333333,0.126041,184.195036,0.079623,0.4375,1.085806,4.882353,1.441222,1.814929,0.941176,0,10
2024-12-26,risk_first,40,10,1.472752,1.603642,2,0.5,0.122625,282.746804,0.309872,1.78125,0.707347,2.4,4.162065,6.70953,0.8,2,1
2024-12-26,deterministic_sir,40,14,2.806645,0.951863,2,0.5,0.119406,243.739811,0.749592,0.96875,0.820547,2.785714,1.493704,3.13291,0.928571,1,7
2024-12-26,saa_no_recourse,40,18,1.493691,-5.771324,2,0.5,0.094235,305.586783,5.223471,0.03125,0.654479,2.277778,2.78991,4.01811,0.833333,3,8
2024-12-26,two_stage_recourse,40,14,3.509266,1.523345,2,0.5,0.122877,231.910396,0.370182,1.03125,0.862402,2.857143,2.4773,3.77742,0.857143,2,3
2024-12-26,dro_recourse,40,14,3.035683,1.578793,2,0.5,0.122451,233.325705,0.333028,1.09375,0.857171,2.285714,2.536818,3.586044,0.857143,2,5
2024-12-31,risk_first,40,9,1.346932,-0.003631,4,0.363636,0.248849,275.649559,0.074001,0.28125,1.451118,1.222222,4.532382,6.944839,0.666667,3,1
2024-12-31,deterministic_sir,40,12,2.152786,2.925271,5,0.454545,0.313561,248.647098,0.0,0.1875,2.010882,2.0,3.521411,3.892314,0.75,3,3
2024-12-31,saa_no_recourse,40,11,2.460247,5.510231,6,0.545455,0.376088,261.342677,0.0,0.09375,2.295836,1.454545,3.792497,6.619219,0.727273,3,3
2024-12-31,two_stage_recourse,40,11,2.460247,5.510231,6,0.545455,0.376088,261.342677,0.0,0.09375,2.295836,1.454545,3.792497,6.619219,0.727273,3,3
2024-12-31,dro_recourse,40,11,2.460247,5.510231,6,0.545455,0.376088,261.342677,0.0,0.09375,2.295836,1.454545,3.792497,6.619219,0.727273,3,3
