date,method,event_id,risk,label,selected,nearest_candidate_km,candidate_neighbors_5km,nearest_selected_km,risk_group,spatial_group,category,source
2024-12-02,risk_first,38549,0.05935649,0,0,0.162738,21,0.0,moderate,clustered,工地道路-施工工地,自查自报
2024-12-02,risk_first,38548,0.05449357,0,0,0.008269,21,0.0,low,clustered,工地道路-施工工地,自查自报
2024-12-02,risk_first,38547,0.05954704,1,0,0.008269,21,0.0,moderate,clustered,工地道路-施工工地,自查自报
2024-12-02,risk_first,38546,0.05881635,0,0,0.092912,21,0.0,moderate,clustered,工地道路-施工工地,自查自报
2024-12-02,risk_first,38545,0.06049288,0,1,0.572023,9,1.600774,moderate,clustered,工地道路-施工工地,自查自报
2024-12-02,risk_first,38544,0.19778791,0,0,71.480346,0,0.0,moderate,isolated,工业企业,自查自报
2024-12-02,risk_first,38543,0.05717475,0,0,0.572023,9,0.0,low,clustered,工地道路-施工工地,自查自报
2024-12-02,risk_first,38542,0.36584491,0,1,0.092912,21,0.219328,high,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38540,0.36572615,0,1,0.001243,21,0.001243,high,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38541,0.36414193,0,1,0.001243,21,0.001243,moderate,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38539,0.36323353,0,1,0.002053,21,0.002053,moderate,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38538,0.36693093,0,1,0.013992,21,0.013992,high,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38537,0.36131129,0,1,0.001306,21,0.001306,moderate,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38536,0.36436231,0,1,0.013992,21,0.013992,high,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38534,0.36060466,0,1,0.001306,21,0.001306,moderate,clustered,其他面源-固定餐饮,自查自报
2024-12-02,risk_first,38535,0.36722133,0,1,0.014757,21,0.014757,high,clustered,其他面源-固定餐饮,自查自报
