"Family","Instance","CutName","Objective","Time_Sec","Gap_Pct","Total_Cuts","Status"
"FLCAP","cap61","Lp","932615.75","0.1","0.049667","12","Opt"
"FLCAP","cap61","HDN","932615.75","0.05","0","5","Opt"
"FLCAP","cap61","RNm","932615.75","0.04","0","5","Opt"
"FLCAP","cap62","Lp","977799.4","0.03","0.044016","13","Opt"
"FLCAP","cap62","HDN","977799.4","0.05","0","5","Opt"
"FLCAP","cap62","RNm","977799.4","0.07","0","8","Opt"
"NDR","r01.1.dow","Lp","74079","0.09","0","6","Opt"
"NDR","r01.1.dow","HDN","74079","0.06","0.045646","7","Opt"
"NDR","r01.1.dow","RNm","74079","0.07","0","7","Opt"
"NDR","r01.2.dow","Lp","92403","0.11","0","8","Opt"
"NDR","r01.2.dow","HDN","92403","0.07","0","5","Opt"
"NDR","r01.2.dow","RNm","92403","0.07","0.033219","7","Opt"
"SNIP","I0;S3;B30","Lp","0.21815","30.3","11.248405","6291","TL"
"SNIP","I0;S3;B30","HDN","0.2177","30.1","11.432798","5703","TL"
"SNIP","I0;S3;B30","RNm","0.21888","30.47","13.789848","6052","TL"
"UFLP","MO1","Lp","1305.95141","2.64","0","766","Opt"
"UFLP","MO1","HDN","1305.95141","2.29","0","854","Opt"
"UFLP","MO1","RNm","1305.95141","2.42","0","901","Opt"
"UFLP","MO2","Lp","1432.35732","2.34","0","833","Opt"
"UFLP","MO2","HDN","1432.35732","2.37","0.099786","912","Opt"
"UFLP","MO2","RNm","1432.35732","2.89","0","1192","Opt"
