"Family","CutName","Instances","MeanTime_Sec","MeanGap_Pct","MeanTotalCuts","OptCount","TLCount"
"FLCAP","HDN","2","0.05","0","5","2","0"
"FLCAP","Lp","2","0.065","0.0468","12.5","2","0"
"FLCAP","RNm","2","0.055","0","6.5","2","0"
"NDR","HDN","2","0.065","0.0228","6","2","0"
"NDR","Lp","2","0.1","0","7","2","0"
"NDR","RNm","2","0.07","0.0166","7","2","0"
"SNIP","HDN","1","30.1","11.4328","5703","0","1"
"SNIP","Lp","1","30.3","11.2484","6291","0","1"
"SNIP","RNm","1","30.47","13.7898","6052","0","1"
"UFLP","HDN","2","2.33","0.0499","883","2","0"
"UFLP","Lp","2","2.49","0","799.5","2","0"
"UFLP","RNm","2","2.655","0","1046.5","2","0"
