date,vehicles,method,event_count,scenario_count,visited_count,objective,nominal_objective,worst_case_objective,realized_recourse_value,expected_selected_reward,expected_recourse_cost,expected_remote_count,expected_handoff_count,expected_unresolved_count,positives_found,positives_total,positive_coverage,positives_per_patrol_hour,distance_km,lateness_hours,overtime_hours,vehicle_utilization,realized_remote_count,realized_handoff_count,realized_unresolved_count,realized_recourse_cost,runtime_seconds
2024-12-02,1,dro_recourse,40,32,16,4.026122,5.633544,4.026122,0.617919,7.421875,1.34375,1.0,0.96875,0.46875,1.0,2,0.5,0.120549,7.38507,0.0,0.295403,1.036925,1.0,0,0,0.1875,13.043378
2024-12-02,2,dro_recourse,40,32,23,7.142219,8.447297,7.142219,1.044954,8.671875,0.207031,0.8125,0.125,0.0,1.0,2,0.5,0.066626,87.731291,0.0,0.0,0.938078,1.0,0,0,0.1875,19.458035
2024-12-02,3,dro_recourse,40,32,28,7.482109,8.780156,7.482109,2.463749,8.945312,0.128906,0.6875,0.0,0.0,2.0,2,1.0,0.094117,181.252994,0.0,0.0,0.885422,0,0,0,0.0,25.255748
2024-12-02,4,dro_recourse,40,32,38,7.726798,8.953361,7.726798,2.455314,9.0625,0.064453,0.34375,0.0,0.0,2.0,2,1.0,0.071589,223.430762,0.0,0.0,0.873038,0,0,0,0.0,30.252991
2024-12-02,5,dro_recourse,40,32,39,8.614368,10.161243,8.614368,2.456165,10.234375,0.029297,0.15625,0.0,0.0,2.0,2,1.0,0.070754,219.175847,0.0,0.0,0.706676,0,0,0,0.0,35.003509
2024-12-03,1,dro_recourse,40,32,14,4.396929,5.548585,4.396929,-0.004305,6.992188,1.439297,0.96875,0.890625,0.578125,0.0,0,nan,0.0,21.526434,0.0,0.0,0.982632,0,0,0,0.0,9.648693
2024-12-03,2,dro_recourse,40,32,22,6.13752,7.470176,6.13752,-0.023574,7.720313,0.226562,0.84375,0.15625,0.0,0.0,0,nan,0.0,117.867925,0.0,0.0,0.98217,0,0,0,0.0,15.622131
2024-12-03,3,dro_recourse,40,32,30,6.879744,8.240057,6.879744,-0.041584,8.357812,0.076172,0.40625,0.0,0.0,0.0,0,nan,0.0,207.918478,0.0,0.0,0.971531,0,0,0,0.0,21.962376
2024-12-03,4,dro_recourse,40,32,37,7.516439,8.845501,7.516439,-0.063093,8.94375,0.035156,0.1875,0.0,0.0,0.0,0,nan,0.0,315.462821,0.0,0.0,0.972454,0,0,0,0.0,27.594816
2024-12-03,5,dro_recourse,40,32,40,8.060624,9.335624,8.060624,-0.070626,9.40625,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,353.132088,0.0,0.0,0.853132,0,0,0,0.0,33.582918
2024-12-04,1,dro_recourse,40,32,12,2.747726,4.328976,2.747726,-2.324227,5.976562,1.638359,0.90625,1.09375,0.625,2.0,7,0.285714,0.254926,46.135325,0.0,0.0,0.980677,1.0,1.5,2.5,4.815,8.01919
2024-12-04,2,dro_recourse,40,32,18,6.180023,7.597601,6.180023,7.428851,7.959375,0.328125,1.09375,0.28125,0.0,6.0,7,0.857143,0.38144,168.246406,0.0,0.0,0.983116,1.0,0,0,0.1875,13.486421
2024-12-04,3,dro_recourse,40,32,26,6.196522,7.634178,6.196522,7.414647,7.7875,0.105469,0.5625,0.0,0.0,6.0,7,0.857143,0.265832,239.266899,0.0,0.0,0.940445,1.0,0,0,0.1875,19.839935
2024-12-04,4,dro_recourse,40,32,35,7.307608,8.815186,7.307608,8.833936,8.904687,0.023438,0.125,0.0,0.0,7.0,7,1.0,0.227919,330.317913,0.0,0.0,0.959772,0,0,0,0.0,26.584175
2024-12-04,5,dro_recourse,40,32,40,6.971892,8.185642,6.971892,8.826267,8.259375,0.0,0.0,0.0,0.0,7.0,7,1.0,0.201459,368.665218,0.0,0.0,0.868665,0,0,0,0.0,32.211448
2024-12-05,1,dro_recourse,40,32,12,0.930785,1.881645,0.930785,0.989848,3.476562,1.522266,0.96875,1.140625,0.515625,1.0,2,0.5,0.124353,51.040735,0.0,0.041629,1.005204,1.0,0,0,0.1875,6.509025
2024-12-05,2,dro_recourse,40,32,18,3.401668,4.752199,3.401668,2.407043,5.234375,0.389219,1.3125,0.25,0.0,2.0,2,1.0,0.132397,152.653203,0.0,0.041618,0.944133,0,0,0,0.0,12.61275
2024-12-05,3,dro_recourse,40,32,31,5.298119,6.338744,5.298119,2.4639,6.523438,0.148594,0.65625,0.0,0.0,2.0,2,1.0,0.088028,180.500763,0.0,0.0,0.946668,0,0,0,0.0,19.241517
2024-12-05,4,dro_recourse,40,32,38,4.602651,5.655776,4.602651,2.438589,5.73125,0.014062,0.0625,0.0,0.0,2.0,2,1.0,0.063934,307.05633,0.0,0.0,0.97757,0,0,0,0.0,25.866594
2024-12-05,5,dro_recourse,40,32,40,5.016513,6.411825,5.016513,2.416513,6.495312,0.0,0.0,0.0,0.0,2.0,2,1.0,0.0545,417.435031,0.0,0.0,0.917435,0,0,0,0.0,31.430713
2024-12-06,1,dro_recourse,40,32,13,2.297911,3.428379,2.297911,-0.630214,5.0,1.566406,0.90625,1.015625,0.609375,0.0,2,0.0,0.0,26.071765,0.0,0.0,0.942859,1.0,1.0,0,0.625,10.376584
2024-12-06,2,dro_recourse,40,32,23,6.127969,7.35375,6.127969,2.480704,7.539062,0.166016,0.8125,0.03125,0.0,2.0,2,1.0,0.133224,87.808613,0.0,0.001156,0.938272,0,0,0,0.0,18.84227
2024-12-06,3,dro_recourse,40,32,36,5.674311,7.455561,5.674311,2.418452,7.578125,0.041016,0.21875,0.0,0.0,2.0,2,1.0,0.083446,149.190289,0.0,0.034473,0.99865,0,0,0,0.0,26.514699
2024-12-06,4,dro_recourse,40,32,40,6.930029,8.586279,6.930029,2.453466,8.632812,0.0,0.0,0.0,0.0,2.0,2,1.0,0.068244,232.668101,0.0,0.0,0.915835,0,0,0,0.0,35.114178
2024-12-06,5,dro_recourse,40,32,40,7.000771,8.547646,7.000771,2.453896,8.59375,0.0,0.0,0.0,0.0,2.0,2,1.0,0.068444,230.520239,0.0,0.0,0.73052,0,0,0,0.0,36.353285
2024-12-15,1,dro_recourse,40,32,9,0.058404,0.634685,0.058404,1.147654,1.296875,0.647344,0.875,0.6875,0.125,1.0,2,0.5,0.133882,74.231734,0.0,0.0,0.933659,1.0,0,0,0.1875,5.066277
2024-12-15,2,dro_recourse,40,32,17,1.179501,1.957064,1.179501,1.142923,2.371875,0.395234,1.40625,0.3125,0.0,1.0,2,0.5,0.080545,97.884182,0.0,0.0,0.77596,1.0,0,0,0.1875,11.948263
2024-12-15,3,dro_recourse,40,32,31,2.049882,2.907007,2.049882,2.560913,3.142187,0.196094,1.0,0.03125,0.0,2.0,2,1.0,0.085773,195.436088,0.0,0.0,0.97156,0,0,0,0.0,19.913124
2024-12-15,4,dro_recourse,40,32,38,2.352379,3.136691,2.352379,2.541066,3.25,0.054375,0.3125,0.0,0.0,2.0,2,1.0,0.064963,294.669254,0.0,0.0,0.962087,0,0,0,0.0,26.744124
2024-12-15,5,dro_recourse,40,32,39,2.202605,3.222465,2.202605,2.54184,3.345312,0.064687,0.375,0.0,0.0,2.0,2,1.0,0.064242,290.802337,0.0,0.0,0.778302,0,0,0,0.0,32.010458
2024-12-16,1,dro_recourse,40,32,9,0.266358,1.376514,0.266358,2.151904,2.421875,0.884766,0.84375,0.65625,0.28125,2.0,3,0.666667,0.247064,89.877004,0.0,0.09508,1.011885,1.0,0,0,0.1875,5.282257
2024-12-16,2,dro_recourse,40,32,18,2.185284,2.734112,2.185284,3.718487,3.046875,0.28125,1.0625,0.1875,0.0,3.0,3,1.0,0.196045,157.565958,0.0,0.0,0.956415,0,0,0,0.0,11.538156
2024-12-16,3,dro_recourse,40,32,24,2.675842,3.558655,2.675842,2.267639,3.75,0.146484,0.78125,0.0,0.0,2.0,3,0.666667,0.095365,224.303382,0.0,0.0,0.873839,1.0,0,0,0.1875,19.58441
2024-12-16,4,dro_recourse,40,32,39,3.587841,4.636669,3.587841,3.548778,4.84375,0.005859,0.03125,0.0,0.0,3.0,3,1.0,0.095964,294.043113,0.0,0.094942,0.976929,0,0,0,0.0,26.789831
2024-12-16,5,dro_recourse,40,32,40,3.144452,4.277265,3.144452,3.691327,4.335938,0.0,0.0,0.0,0.0,3.0,3,1.0,0.094534,293.363414,0.0,0.0,0.793363,0,0,0,0.0,32.238443
2024-12-17,1,dro_recourse,40,32,6,0.022154,1.040435,0.022154,3.635592,2.346875,1.287031,0.90625,0.9375,0.46875,4.0,7,0.571429,0.581252,97.042338,0.0,0.0,0.860212,1.0,1.5,0.5,1.545,4.801911
2024-12-17,2,dro_recourse,40,32,19,1.711514,2.59792,1.711514,4.383311,3.079687,0.442578,1.4375,0.40625,0.0,4.0,7,0.571429,0.251114,160.725457,0.0,0.004696,0.995564,2.0,1.0,0,0.7775,11.388532
2024-12-17,3,dro_recourse,40,32,21,2.575555,3.26218,2.575555,7.474758,3.503125,0.188203,1.03125,0.0,0.0,6.0,7,0.857143,0.285057,263.710056,0.0,0.0,0.877017,1.0,0,0,0.1725,18.574855
2024-12-17,4,dro_recourse,40,32,25,3.395719,4.368766,3.395719,7.449156,4.578125,0.131016,0.71875,0.0,0.0,6.0,7,0.857143,0.213002,391.717568,0.0,0.0,0.880272,1.0,0,0,0.1725,25.694606
2024-12-17,5,dro_recourse,40,32,39,3.757919,4.850732,3.757919,7.444482,4.998437,0.064687,0.375,0.0,0.0,6.0,7,0.857143,0.166188,415.091197,0.0,0.0,0.902591,1.0,0,0,0.1725,31.968552
2024-12-23,1,dro_recourse,40,32,11,-8.854773,-6.49407,-8.854773,10.622883,6.465625,12.332578,1.0,1.5,6.3125,9.0,9,1.0,1.07036,72.709585,0.0,0.408383,1.051048,0,0,0,0.0,11.750472
2024-12-23,2,dro_recourse,40,32,21,2.957032,4.538751,2.957032,5.145001,12.821875,2.178125,1.96875,2.34375,0.375,9.0,9,1.0,0.449142,238.455137,0.0,4.038205,1.252388,0,0,0,0.0,20.705454
2024-12-23,3,dro_recourse,40,32,19,7.499506,9.382271,7.499506,9.293052,11.426562,1.524844,2.90625,1.859375,0.046875,8.0,9,0.888889,0.330131,368.319954,0.0,0.297189,1.0097,1.0,0,0,0.1875,25.07323
2024-12-23,4,dro_recourse,40,32,23,11.787603,13.447618,11.787603,8.869806,15.134375,0.744062,2.96875,0.25,0.0,8.0,9,0.888889,0.245876,525.917432,0.0,0.55834,1.016772,1.0,0,0,0.1875,31.666195
2024-12-23,5,dro_recourse,40,32,32,13.010079,14.981641,13.010079,8.975938,17.426562,0.170859,0.75,0.0,0.0,9.0,9,1.0,0.227207,590.2845,0.0,1.437337,0.990284,0,0,0,0.0,35.225112
2024-12-24,1,dro_recourse,40,32,10,-3.713471,-2.101768,-3.713471,-1.518018,5.707812,6.774063,1.0,1.5,3.71875,2.0,6,0.333333,0.230466,91.952119,0.0,0.678085,1.084761,1.0,1.5,1.5,2.9825,8.708944
2024-12-24,2,dro_recourse,40,32,15,4.395948,5.824151,4.395948,0.928995,8.026562,1.811406,2.0,1.90625,0.375,2.0,6,0.333333,0.123217,218.289121,0.0,0.231565,1.014473,2.0,2.0,0,1.18,14.936217
2024-12-24,3,dro_recourse,40,32,23,8.445035,10.061613,8.445035,3.041691,10.542187,0.419766,1.9375,0.09375,0.0,3.0,6,0.5,0.126049,304.043881,0.0,0.0,0.991679,3.0,0,0,0.5475,20.616309
2024-12-24,4,dro_recourse,40,32,30,10.777461,12.627226,10.777461,5.776445,12.917187,0.203906,1.0625,0.0,0.0,5.0,6,0.833333,0.160835,402.194121,0.0,0.003744,0.971493,1.0,0,0,0.1875,26.735034
2024-12-24,5,dro_recourse,40,32,36,10.93218,12.37307,10.93218,5.751352,12.604687,0.120469,0.65625,0.0,0.0,5.0,6,0.833333,0.128169,525.276993,0.0,0.004062,0.975277,1.0,0,0,0.1875,31.033848
2024-12-26,1,dro_recourse,40,32,6,-4.823734,-2.704359,-4.823734,1.62736,4.220313,6.677031,1.0,1.5,3.71875,2.0,4,0.5,0.245461,128.698343,0.0,0.147934,1.018492,1.0,1.0,0,0.625,6.283423
