team_cost,comparator,metric,mean_favorable_difference,normal_95ci_low,normal_95ci_high
0.5,nominal_value,net_robust_value,0.022498,-0.009796,0.054792
0.5,nominal_value,realized_recourse_value,-0.115959,-0.346797,0.11488
0.5,nominal_value,positives_found,-0.083333,-0.246667,0.08
0.5,nominal_value,distance_km,19.886231,-11.999896,51.772359
0.5,nominal_value,expected_unresolved_count,0.0,0.0,0.0
0.5,fixed_two_teams,net_robust_value,2.041667,0.409507,3.673826
0.5,fixed_two_teams,realized_recourse_value,1.916876,0.667938,3.165815
0.5,fixed_two_teams,positives_found,1.0,0.237071,1.762929
0.5,fixed_two_teams,distance_km,-174.680859,-247.265312,-102.096406
0.5,fixed_two_teams,expected_unresolved_count,0.091146,0.000844,0.181448
1.0,nominal_value,net_robust_value,0.020366,-0.019552,0.060284
1.0,nominal_value,realized_recourse_value,0.003237,-0.003108,0.009583
1.0,nominal_value,positives_found,0.0,0.0,0.0
1.0,nominal_value,distance_km,-10.396068,-30.772363,9.980226
1.0,nominal_value,expected_unresolved_count,0.0,0.0,0.0
1.0,fixed_two_teams,net_robust_value,1.410874,0.031522,2.790225
1.0,fixed_two_teams,realized_recourse_value,1.32754,0.157215,2.497866
1.0,fixed_two_teams,positives_found,0.583333,-0.075545,1.242211
1.0,fixed_two_teams,distance_km,-87.140103,-165.509021,-8.771184
1.0,fixed_two_teams,expected_unresolved_count,0.091146,0.000844,0.181448
1.5,nominal_value,net_robust_value,0.098785,-0.005615,0.203184
1.5,nominal_value,realized_recourse_value,0.129479,-0.127719,0.386676
1.5,nominal_value,positives_found,0.0,-0.241259,0.241259
1.5,nominal_value,distance_km,12.01253,-16.909103,40.934163
1.5,nominal_value,expected_unresolved_count,0.023438,-0.0225,0.069375
1.5,fixed_two_teams,net_robust_value,1.13714,0.010733,2.263547
1.5,fixed_two_teams,realized_recourse_value,0.903813,-0.068214,1.87584
1.5,fixed_two_teams,positives_found,0.25,-0.296174,0.796174
1.5,fixed_two_teams,distance_km,-46.815142,-100.47146,6.841176
1.5,fixed_two_teams,expected_unresolved_count,0.078125,-0.018573,0.174823
2.0,nominal_value,net_robust_value,0.082414,-0.079117,0.243945
2.0,nominal_value,realized_recourse_value,0.007774,-0.007463,0.023012
2.0,nominal_value,positives_found,0.0,0.0,0.0
2.0,nominal_value,distance_km,12.289354,-11.79778,36.376487
2.0,nominal_value,expected_unresolved_count,0.0,0.0,0.0
2.0,fixed_two_teams,net_robust_value,0.991696,0.087025,1.896367
2.0,fixed_two_teams,realized_recourse_value,0.707822,-0.361177,1.776822
2.0,fixed_two_teams,positives_found,0.166667,-0.41603,0.749363
2.0,fixed_two_teams,distance_km,-25.518382,-88.095671,37.058908
2.0,fixed_two_teams,expected_unresolved_count,-0.032552,-0.204412,0.139308
