date,team_cost,policy,selected_teams,net_robust_value,net_nominal_value,worst_case_objective,nominal_objective,realized_recourse_value,positives_found,positive_coverage,distance_km,expected_unresolved_count,runtime_seconds
2024-12-02,0.5,robust_endogenous,2,6.142219,7.447297000000001,7.142219,8.447297,1.044954,1.0,0.5,87.731291,0.0,19.458035
2024-12-02,0.5,nominal_value,5,6.114368000000001,7.661243000000001,8.614368,10.161243,2.456165,2.0,1.0,219.175847,0.0,35.003509
2024-12-02,0.5,fixed_two_teams,2,6.142219,7.447297000000001,7.142219,8.447297,1.044954,1.0,0.5,87.731291,0.0,19.458035
2024-12-03,0.5,robust_endogenous,5,5.560624000000001,6.835623999999999,8.060624,9.335624,-0.070626,0.0,nan,353.132088,0.0,33.582918
2024-12-03,0.5,nominal_value,4,5.516439,6.8455010000000005,7.516439,8.845501,-0.063093,0.0,nan,315.462821,0.0,27.594816
2024-12-03,0.5,fixed_two_teams,2,5.13752,6.470176,6.13752,7.470176,-0.023574,0.0,nan,117.867925,0.0,15.622131
2024-12-04,0.5,robust_endogenous,4,5.307608,6.815186000000001,7.307608,8.815186,8.833936,7.0,1.0,330.317913,0.0,26.584175
2024-12-04,0.5,nominal_value,4,5.307608,6.815186000000001,7.307608,8.815186,8.833936,7.0,1.0,330.317913,0.0,26.584175
2024-12-04,0.5,fixed_two_teams,2,5.180023,6.597601,6.180023,7.597601,7.428851,6.0,0.857143,168.246406,0.0,13.486421
2024-12-05,0.5,robust_endogenous,3,3.798119,4.838744,5.298119,6.338744,2.4639,2.0,1.0,180.500763,0.0,19.241517
2024-12-05,0.5,nominal_value,3,3.798119,4.838744,5.298119,6.338744,2.4639,2.0,1.0,180.500763,0.0,19.241517
2024-12-05,0.5,fixed_two_teams,2,2.401668,3.752199,3.401668,4.752199,2.407043,2.0,1.0,152.653203,0.0,12.61275
2024-12-06,0.5,robust_endogenous,2,5.127969,6.35375,6.127969,7.35375,2.480704,2.0,1.0,87.808613,0.0,18.84227
2024-12-06,0.5,nominal_value,4,4.930029,6.586278999999999,6.930029,8.586279,2.453466,2.0,1.0,232.668101,0.0,35.114178
2024-12-06,0.5,fixed_two_teams,2,5.127969,6.35375,6.127969,7.35375,2.480704,2.0,1.0,87.808613,0.0,18.84227
2024-12-15,0.5,robust_endogenous,3,0.5498820000000002,1.4070070000000001,2.049882,2.907007,2.560913,2.0,1.0,195.436088,0.0,19.913124
2024-12-15,0.5,nominal_value,3,0.5498820000000002,1.4070070000000001,2.049882,2.907007,2.560913,2.0,1.0,195.436088,0.0,19.913124
2024-12-15,0.5,fixed_two_teams,2,0.1795009999999999,0.9570639999999999,1.179501,1.957064,1.142923,1.0,0.5,97.884182,0.0,11.948263
2024-12-16,0.5,robust_endogenous,4,1.587841,2.6366690000000004,3.587841,4.636669,3.548778,3.0,1.0,294.043113,0.0,26.789831
2024-12-16,0.5,nominal_value,4,1.587841,2.6366690000000004,3.587841,4.636669,3.548778,3.0,1.0,294.043113,0.0,26.789831
2024-12-16,0.5,fixed_two_teams,2,1.1852839999999998,1.734112,2.185284,2.734112,3.718487,3.0,1.0,157.565958,0.0,11.538156
2024-12-17,0.5,robust_endogenous,4,1.3957190000000002,2.368766,3.395719,4.368766,7.449156,6.0,0.857143,391.717568,0.0,25.694606
2024-12-17,0.5,nominal_value,4,1.3957190000000002,2.368766,3.395719,4.368766,7.449156,6.0,0.857143,391.717568,0.0,25.694606
2024-12-17,0.5,fixed_two_teams,2,0.711514,1.5979199999999998,1.711514,2.59792,4.383311,4.0,0.571429,160.725457,0.0,11.388532
2024-12-23,0.5,robust_endogenous,5,10.510079,12.481641,13.010079,14.981641,8.975938,9.0,1.0,590.2845,0.0,35.225112
2024-12-23,0.5,nominal_value,5,10.510079,12.481641,13.010079,14.981641,8.975938,9.0,1.0,590.2845,0.0,35.225112
2024-12-23,0.5,fixed_two_teams,2,1.9570319999999999,3.5387510000000004,2.957032,4.538751,5.145001,9.0,1.0,238.455137,0.375,20.705454
2024-12-24,0.5,robust_endogenous,4,8.777461,10.627226,10.777461,12.627226,5.776445,5.0,0.833333,402.194121,0.0,26.735034
2024-12-24,0.5,nominal_value,4,8.777461,10.627226,10.777461,12.627226,5.776445,5.0,0.833333,402.194121,0.0,26.735034
2024-12-24,0.5,fixed_two_teams,2,3.3959479999999997,4.824151,4.395948,5.824151,0.928995,2.0,0.333333,218.289121,0.375,14.936217
2024-12-26,0.5,robust_endogenous,5,7.748797,9.441922,10.248797,11.941922,3.443172,3.0,0.75,596.638648,0.0,27.26792
2024-12-26,0.5,nominal_value,5,7.748797,9.441922,10.248797,11.941922,3.443172,3.0,0.75,596.638648,0.0,27.26792
2024-12-26,0.5,fixed_two_teams,2,1.8351259999999998,3.591329,2.835126,4.591329,1.285704,2.0,0.5,238.194287,0.3125,11.71899
2024-12-31,0.5,robust_endogenous,5,2.567171,3.825608,5.067171,6.325608,11.947874,10.0,0.909091,573.129857,0.0,23.83363
