team_cost,policy,dates,mean_selected_teams,team_selection_frequency,mean_net_robust_value,sd_net_robust_value,mean_net_nominal_value,sd_net_nominal_value,mean_realized_recourse_value,sd_realized_recourse_value,mean_positives_found,sd_positives_found,mean_positive_coverage,sd_positive_coverage,mean_distance_km,sd_distance_km,mean_expected_unresolved_count,sd_expected_unresolved_count
0.5,fixed_two_teams,12,2.0,1:0;2:12;3:0;4:0;5:0,2.881124,2.040994,4.083005,2.23536,2.954386,2.28003,3.166667,2.622744,0.70976,0.260481,165.563688,61.616363,0.091146,0.1596
0.5,nominal_value,12,4.1667,1:0;2:0;3:2;4:6;5:4,4.900293,3.096555,6.294649,3.442788,4.987221,3.578737,4.25,3.137022,0.94087,0.089716,360.130778,153.682166,0.0,0.0
0.5,robust_endogenous,12,3.8333,1:0;2:2;3:2;4:4;5:4,4.922791,3.099045,6.25662,3.434213,4.871262,3.690204,4.166667,3.21455,0.895415,0.157681,340.244547,182.247163,0.0,0.0
1.0,fixed_two_teams,12,2.0,1:0;2:12;3:0;4:0;5:0,1.881124,2.040994,3.083006,2.23536,2.954386,2.28003,3.166667,2.622744,0.70976,0.260481,165.563688,61.616363,0.091146,0.1596
1.0,nominal_value,12,2.75,1:0;2:7;3:2;4:2;5:1,3.271631,2.877789,4.565062,3.307258,4.278689,3.302206,3.75,2.988615,0.802735,0.199842,242.307722,172.407365,0.0,0.0
1.0,robust_endogenous,12,2.8333,1:0;2:7;3:2;4:1;5:2,3.291998,2.891997,4.55257,3.297114,4.281926,3.30129,3.75,2.988615,0.802735,0.199842,252.703791,190.338133,0.0,0.0
1.5,fixed_two_teams,12,2.0,1:0;2:12;3:0;4:0;5:0,0.881124,2.040994,2.083006,2.23536,2.954386,2.28003,3.166667,2.622744,0.70976,0.260481,165.563688,61.616363,0.091146,0.1596
1.5,nominal_value,12,2.5,1:2;2:6;3:1;4:2;5:1,1.919479,2.545184,3.220758,2.945181,3.72872,2.742143,3.416667,2.644319,0.747639,0.202863,224.39136,172.300636,0.036458,0.085148
1.5,robust_endogenous,12,2.4167,1:1;2:7;3:2;4:2;5:0,2.018264,2.559193,3.154423,2.924993,3.858199,2.677703,3.416667,2.429303,0.767841,0.205046,212.37883,140.451747,0.013021,0.036391
2.0,fixed_two_teams,12,2.0,1:0;2:12;3:0;4:0;5:0,-0.118876,2.040994,1.083006,2.23536,2.954386,2.28003,3.166667,2.622744,0.70976,0.260481,165.563688,61.616363,0.091146,0.1596
2.0,nominal_value,12,2.1667,1:4;2:5;3:0;4:3;5:0,0.790406,2.222618,2.087454,2.51201,3.654434,2.71573,3.333333,2.46183,0.737538,0.191488,203.371423,171.488687,0.123698,0.205834
2.0,robust_endogenous,12,2.0833,1:4;2:5;3:1;4:2;5:0,0.87282,2.249448,2.077488,2.507897,3.662208,2.715082,3.333333,2.46183,0.737538,0.191488,191.08207,154.987082,0.123698,0.205834
